number;firstname;lastname;address;city;state;postcode
021;Lee;Troupe;2907 Brown Street;Danville;CA;94526;1974-03-11
022;Elizabeth;Green;4271 Maple Lane;Huntsville;AL;35801;1984-08-14
023;Jose;Defalco;1648 Scott Street;Spring Valley;NY;10977;2002-05-27
024;Julie;Soto;1299 White River Way;Draper;UT;84020;1993-04-05
050;Anna;Davis;3133 Cherry Ridge Drive;Rochester;NY;14616;1975-01-03
063;William;Joseph;4470 Deer Ridge Drive;Montclair;NJ;07042;1966-12-21
064;Nannie;Burns;2910 Burning Memory Lane;Philadelphia;PA;19103;1974-07-17
068;David;Gould;4386 Lyon Avenue;New Bedford;MA;02740;1980-09-29
083;William;Nixon;1322 Goldleaf Lane;Secaucus;NJ;07094;1997-05-08
084;Elmer;Paulson;3303 Preston Street;Belpre;KS;67519;1985-02-25
085;Victoria;Streit;1488 Selah Way;Brattleboro;VT;05301;2004-10-10
098;Delmer;Conroy;4562 Cody Ridge Road;Altus;OK;73521;1989-07-23
099;Martha;Hartley;2132 Waldeck Street;Azle;TX;76020;1998-03-01
118;Sandy;Pung;4144 Pheasant Ridge Road;Warrington;PA;18976;1978-11-21
119;Kristin;Cameron;4302 Bartlett Avenue;Farmington Hills;MI;48331;1996-10-03
125;Carla;Vance;846 Joy Lane;City Of Commerce;CA;90040;1972-05-19
126;Jamie;Mizell;3524 Spring Avenue;Fort Washington;PA;19034;1994-07-27
142;Elizabeth;Embry;4826 Hillside Drive;West Roxbury;MA;02132;1970-10-19
143;Deborah;Kenney;3828 Star Route;Burr Ridge;IL;61257;1983-09-06
162;Alva;Read;936 Shady Pines Drive;Hillsville;VA;24343;1984-07-15
163;Terrence;Niehaus;3374 Austin Secret Lane;Castle Dale;UT;84513;2002-07-08
165;Oma;Howard;1193 Ingram Road;Burlington;NC;27244;1965-11-30
173;James;Behrens;1501 Archwood Avenue;Mountain View;WY;82939;1980-03-22
174;Charles;Wood;4785 Barnes Street;Altamonte Springs;FL;32701;1961-05-28
182;Rhoda;Marez;4111 Todds Lane;San Antonio;TX;78225;1985-04-26
183;Daisy;Adams;411 Angie Drive;Stevens Point;WI;54481;1962-03-29
191;Robert;Perry;3132 Deer Ridge Drive;Rochelle Park;NJ;07662;2004-06-10
296;Isador;Wenham;9179 Lien Street;Houston;TX;77005;1995-11-21
297;Belva;Jessup;1 Crest Line Hill;Rochester;NY;14614;1995-02-12
438;Cristie;Beminster;6 Myrtle Plaza;Topeka;KS;66622;1965-03-17
439;Penelopa;Flewett;26880 Erie Hill;Fort Lauderdale;FL;33320;1974-02-17
835;Othilia;Haw;3 Utah Trail;Saint Petersburg;FL;33705;1959-06-05
836;Earvin;Yellop;19133 7th Alley;Albuquerque;NM;87180;1957-08-20
837;Fred;Lightbowne;8368 West Avenue;Pomona;CA;91797;1977-05-19
1077;Shannen;Petrishchev;9832 Wayridge Crossing;Omaha;NE;68164;1999-05-20
1078;Peterus;Dolling;4604 Lerdahl Place;Boca Raton;FL;33432;1972-12-19
1079;Bibbie;Eglinton;2460 Kedzie Trail;Columbia;MO;65218;1996-06-29
